customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00112,Female,0,No,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,21.72,1597.88,0
CUST-00113,Female,0,No,No,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,22.37,724.17,0
CUST-00114,Male,0,No,No,12,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,One year,No,Mailed check,88.49,1106.43,1
CUST-00115,Female,1,No,No,14,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Mailed check,97.43,1322.84,1
CUST-00116,Male,1,Yes,Yes,21,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),55.38,1164.08,0
CUST-00117,Female,0,Yes,Yes,35,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,Yes,Mailed check,46.3,1684.55,0
CUST-00118,Female,1,Yes,No,27,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),61.91,1726.38,1
CUST-00119,Male,0,No,No,72,Yes,Yes,DSL,No,No,No,Yes,No,No,Two year,No,Mailed check,68.09,4982.76,0
CUST-00120,Female,0,Yes,No,31,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,26.09,802.93,0
CUST-00121,Male,0,Yes,Yes,72,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),56.12,4110.97,0
CUST-00122,Female,0,Yes,Yes,1,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),89.07,87.67,1
CUST-00123,Male,0,No,No,70,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),18.0,1283.88,0
CUST-00124,Male,0,Yes,Yes,40,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.9,3724.71,0
CUST-00125,Female,0,No,No,6,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,61.0,347.99,1
CUST-00126,Female,0,Yes,No,9,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,One year,No,Electronic check,92.01,845.92,0
CUST-00127,Male,0,Yes,Yes,25,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Two year,Yes,Mailed check,105.68,2566.02,0
CUST-00128,Female,1,Yes,No,4,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),81.63,322.36,1
CUST-00129,Female,0,No,No,49,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),69.6,3387.5,0
CUST-00130,Female,0,No,No,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),20.98,1099.87,0
CUST-00131,Male,0,Yes,No,11,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,41.26,431.41,0
CUST-00132,Male,0,Yes,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.0,36.99,1
CUST-00133,Male,0,No,Yes,72,No,No phone service,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,85.1,6351.04,0
CUST-00134,Male,0,Yes,No,9,Yes,No,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Bank transfer (automatic),52.64,461.5,0
CUST-00135,Male,0,Yes,Yes,2,Yes,No,DSL,No,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),67.5,131.65,1
CUST-00136,Male,0,Yes,Yes,12,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Mailed check,45.59,566.25,0
CUST-00137,Male,0,Yes,No,72,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,72.53,5297.29,1
CUST-00138,Male,0,Yes,No,50,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),20.67,1074.2,1
CUST-00139,Male,0,Yes,No,20,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),72.14,1444.41,0
CUST-00140,Female,0,Yes,No,11,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),63.17,676.12,0
CUST-00141,Male,0,No,No,17,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),76.62,1351.67,1
CUST-00142,Female,0,Yes,No,1,No,No phone service,Fiber optic,Yes,Yes,Yes,No,No,Yes,Two year,No,Bank transfer (automatic),62.16,61.72,0
CUST-00143,Female,1,No,No,40,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,97.1,3800.02,1
CUST-00144,Female,1,Yes,No,3,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),50.12,146.1,0
CUST-00145,Male,1,No,No,23,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,22.02,524.56,0
CUST-00146,Male,0,Yes,Yes,26,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Two year,Yes,Mailed check,78.84,2080.46,0
CUST-00147,Male,0,No,Yes,1,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,No,Credit card (automatic),62.01,63.37,0
CUST-00148,Male,0,Yes,No,72,Yes,Yes,DSL,No,No,No,No,No,No,Two year,Yes,Electronic check,47.03,3415.62,0
CUST-00149,Female,0,No,No,11,Yes,Yes,DSL,No,No,No,No,Yes,No,One year,No,Electronic check,69.87,805.12,0
CUST-00150,Male,0,Yes,No,2,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),65.1,124.36,0
CUST-00151,Male,0,Yes,Yes,61,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,51.98,3199.39,0
CUST-00152,Male,1,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,24.35,126.46,1
CUST-00153,Male,0,No,No,1,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),82.7,79.39,1
CUST-00154,Male,1,Yes,No,21,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,79.54,1706.56,0
CUST-00155,Female,0,No,No,4,Yes,No,DSL,Yes,No,No,No,No,No,One year,Yes,Electronic check,65.13,252.87,0
CUST-00156,Male,0,Yes,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,61.01,4594.43,1
CUST-00157,Female,0,Yes,No,1,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Two year,No,Mailed check,82.48,83.17,0
CUST-00158,Male,0,No,Yes,1,Yes,No,DSL,No,No,No,No,No,Yes,Two year,No,Mailed check,60.88,60.41,1
CUST-00159,Female,0,Yes,No,57,Yes,Yes,DSL,Yes,No,No,No,No,Yes,One year,No,Bank transfer (automatic),38.66,2112.83,0
CUST-00160,Male,0,No,No,8,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Two year,No,Electronic check,86.9,721.53,1
CUST-00161,Male,0,Yes,No,72,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),48.92,3461.03,0
CUST-00162,Female,0,No,No,11,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,92.68,1029.06,0
CUST-00163,Female,1,No,No,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,22.86,46.52,0
CUST-00164,Female,0,No,No,1,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),63.11,63.78,1
CUST-00165,Male,1,No,No,10,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,108.05,1046.43,1
CUST-00166,Female,0,Yes,Yes,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),18.8,360.84,0
CUST-00167,Male,0,No,No,1,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Credit card (automatic),98.43,96.67,0
CUST-00168,Male,0,Yes,No,27,Yes,No,DSL,No,No,No,No,No,No,One year,No,Mailed check,56.14,1457.88,0
CUST-00169,Female,0,No,No,12,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),61.31,749.22,0
CUST-00170,Female,0,No,No,15,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Electronic check,70.42,1066.8,0
CUST-00171,Male,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,No,Electronic check,79.78,753.48,0
CUST-00172,Male,0,No,No,24,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),55.1,1284.07,1
CUST-00173,Female,0,Yes,No,8,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Electronic check,77.97,637.23,0
CUST-00174,Female,0,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,22.92,91.83,0
CUST-00175,Female,0,Yes,No,70,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.72,1350.32,0
CUST-00176,Male,0,No,No,15,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),70.3,1052.21,0
CUST-00177,Male,0,Yes,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),23.64,49.14,1
